2023-03-16 21:00:00,237 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '0ca2117a-2dd5-5eec-860d-4df6c71974bb', 'Date': 'Thu, 16 Mar 2023 10:00:00 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 21:00:20,263 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '04f429b6-d35d-5375-8e4f-753a39bd6701', 'Date': 'Thu, 16 Mar 2023 10:00:20 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 21:00:40,294 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'e9f80d77-c5be-535a-9508-51fb2f4a3288', 'Date': 'Thu, 16 Mar 2023 10:00:40 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 21:01:00,317 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'fde77a1e-4377-52fb-b3a1-2692a87f1a2f', 'Date': 'Thu, 16 Mar 2023 10:01:00 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 21:01:20,346 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '4460869f-101d-5cdb-b21f-da13fb01924c', 'Date': 'Thu, 16 Mar 2023 10:01:20 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 21:01:40,376 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '9616e03c-957a-5c3a-8b95-bcb07e4a4649', 'Date': 'Thu, 16 Mar 2023 10:01:40 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 21:02:00,401 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'd6966b95-400a-57b9-84dd-3719ab4ea436', 'Date': 'Thu, 16 Mar 2023 10:02:00 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 21:02:20,429 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '66413c96-20ff-5508-926d-601acba7644f', 'Date': 'Thu, 16 Mar 2023 10:02:20 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 21:02:40,455 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '872e56d1-6fd0-5fbb-8c87-0a5d84bc6111', 'Date': 'Thu, 16 Mar 2023 10:02:40 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 21:03:00,481 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'b4492db1-1888-5163-bee8-713df308e2ef', 'Date': 'Thu, 16 Mar 2023 10:03:00 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 21:03:20,508 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '9656c0b8-509c-54c3-93af-9c34bb082d51', 'Date': 'Thu, 16 Mar 2023 10:03:20 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 21:03:40,534 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '4df71dab-0da8-573b-9ae5-4127e6005660', 'Date': 'Thu, 16 Mar 2023 10:03:40 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 21:04:00,563 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '6b5d7214-ac38-5703-91a0-2e9847849efa', 'Date': 'Thu, 16 Mar 2023 10:04:00 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 21:04:20,591 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'ea2c4045-7dfe-5c51-a5c9-1cc9962edbe9', 'Date': 'Thu, 16 Mar 2023 10:04:20 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 21:04:40,620 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '7d6a86d8-bb0e-5869-abd5-da5450ea97d8', 'Date': 'Thu, 16 Mar 2023 10:04:40 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 21:05:00,645 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'eabe2d23-bb1c-59d3-9243-71af50e4727c', 'Date': 'Thu, 16 Mar 2023 10:05:00 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 21:05:20,674 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '5d68b3b7-187f-5ae7-bf98-ef3bf4734b22', 'Date': 'Thu, 16 Mar 2023 10:05:20 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 21:05:40,700 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '823b5d86-f3a3-52a9-b682-010a1f83ac61', 'Date': 'Thu, 16 Mar 2023 10:05:40 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 21:06:00,728 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '9c35e621-5b36-53da-b8e7-baadb702023f', 'Date': 'Thu, 16 Mar 2023 10:06:00 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 21:06:20,757 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'bca85988-d53f-5252-b6a8-05043977f3eb', 'Date': 'Thu, 16 Mar 2023 10:06:20 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 21:06:40,787 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '5138a0a1-99d8-513c-a33b-fc2d75842948', 'Date': 'Thu, 16 Mar 2023 10:06:40 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 21:07:00,813 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'f77f7166-c658-5eb4-b58f-2dea2a285193', 'Date': 'Thu, 16 Mar 2023 10:07:00 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 21:07:20,839 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'a2ac42b7-800e-52f9-aafe-1e3b6c8a9415', 'Date': 'Thu, 16 Mar 2023 10:07:20 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 21:07:40,866 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '84d17cd6-4b6a-5be0-af90-205aa7f278ee', 'Date': 'Thu, 16 Mar 2023 10:07:40 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 21:08:00,901 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '5bcf8375-4c81-5510-bced-dff9a02df65c', 'Date': 'Thu, 16 Mar 2023 10:08:00 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 21:08:20,923 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '50d7da04-579a-551d-93d2-8688bb5a794d', 'Date': 'Thu, 16 Mar 2023 10:08:20 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
